source_paper_id,source_s2_paperId,target_s2_paperId
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,d073cdb87612004236b2473f9d62ef5c9c586198
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,ee2c4de0da38716e1a8c745acb8235a26f079249
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,b3b975c150504487b6772c5905bc12b5ef65ce52
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,d0ab11de3077490c80a08abd0fb8827bac84c454
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,57a10537978600fd33dcdd48922c791609a4851a
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,9afafe6095df854829d54a9172d302e272ce75a4
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,0c908739fbff75f03469d13d4a1a07de3414ee19
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,a6cb366736791bcccc5c8639de5a8f9636bf87e8
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,2fe7fb74a5ead2ab77b3db9ee687e1fd1f55c0cf
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,ad4fd2c149f220a62441576af92a8a669fe81246
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,174ddfe7ec0fcfde9c423028990cf17c8a7a53e3
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,d1ee87290fa827f1217b8fa2bccb3485da1a300e
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,2994311ae61eba8fa75033562312d8deec1da462
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,65bc2e5a8788a96d5e769d36e7bda63d42aca47a
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,48c3ee5a4c865ae4d57d2c2bbe59588504f364e3
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,6cd960de282207b1c9bb07311b77b210011fb5aa
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,d48a3c65fce9a6e010821a29c575fc2ea683d160
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,f33966f21435bab8c65b73e907c30a391f05caea
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,ffa99ecba6035e38c68c4b7495d43dba6738b93f
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,8dc5a5f57b5a4564536badf3ca98e5680f313314
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,a4715887bd5a4c328ebf1d6ebb18ab94e71ee8d8
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,3f825e0b46bb5a2290425e50a723a4e7343af16e
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,7426dab0a96e9dfbb3fee77b286231fb0ab79daf
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,5848737f78397f72ceae2ba6f3419a6a8502b8ba
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,bf7c9b04218f24cff229fcdc4c176164155a60d7
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,87c5b281fa43e6f27191b20a8dd694eda1126336
4,f74953e56342a8bdd0a13b5341e2d5a97a98e297,267dcb61f72f48dadd60a3a770493c0c9f70be65
