year,n_papers,prev_n,growth_rate,log_residual
2016,2276,1520.0,0.4973684210526317,1.9427096392182017
2017,3445,2276.0,0.5136203866432338,2.3068021732003334
2018,5022,3445.0,0.4577648766328011,2.633294675250715
2019,6767,5022.0,0.34747112704101957,2.881112417546005
2020,8355,6767.0,0.23466824294369726,3.041502868123869
2021,8833,8355.0,0.05721125074805511,3.046725559620116
2022,8403,8833.0,-0.048681082304992684,2.9464077825837975
2023,9053,8403.0,0.07735332619302637,2.9705033379116283
2024,7403,9053.0,-0.1822600243013366,2.7188806126598806
2025,3111,7403.0,-0.57976496015129,1.8015276528950288
2026,222,3111.0,-0.9286403085824494,-0.8889063163497335
