source_year,target_year,n_citations,n_available_papers,citations_per_available_paper
2021,1969,8,20,0.4
2021,1970,3,21,0.14285714285714285
2021,1971,3,19,0.15789473684210525
2021,1972,1,23,0.043478260869565216
2021,1973,3,15,0.2
2021,1974,2,13,0.15384615384615385
2021,1975,6,19,0.3157894736842105
2021,1976,3,19,0.15789473684210525
2021,1977,3,21,0.14285714285714285
2021,1978,1,18,0.05555555555555555
2021,1979,2,24,0.08333333333333333
2021,1980,1,27,0.037037037037037035
2021,1981,5,22,0.22727272727272727
2021,1982,3,26,0.11538461538461539
2021,1983,6,30,0.2
2021,1984,1,23,0.043478260869565216
2021,1985,7,30,0.23333333333333334
2021,1986,3,28,0.10714285714285714
2021,1987,7,40,0.175
2021,1988,9,47,0.19148936170212766
2021,1989,53,53,1.0
2021,1990,19,71,0.2676056338028169
2021,1991,13,53,0.24528301886792453
2021,1992,15,87,0.1724137931034483
2021,1993,13,85,0.15294117647058825
2021,1994,15,97,0.15463917525773196
2021,1995,19,99,0.1919191919191919
2021,1996,19,108,0.17592592592592593
2021,1997,38,106,0.3584905660377358
2021,1998,47,127,0.3700787401574803
2021,1999,35,136,0.25735294117647056
2021,2000,49,189,0.25925925925925924
2021,2001,44,189,0.2328042328042328
2021,2002,57,199,0.2864321608040201
2021,2003,63,222,0.28378378378378377
2021,2004,65,261,0.24904214559386972
2021,2005,90,292,0.3082191780821918
2021,2006,167,301,0.5548172757475083
2021,2007,68,346,0.19653179190751446
2021,2008,118,376,0.31382978723404253
2021,2009,303,462,0.6558441558441559
2021,2010,106,492,0.21544715447154472
2021,2011,173,560,0.30892857142857144
2021,2012,225,673,0.3343239227340267
2021,2013,361,807,0.4473358116480793
2021,2014,940,1049,0.8960915157292659
2021,2015,1556,1520,1.0236842105263158
2021,2016,1657,2276,0.7280316344463972
2021,2017,2351,3445,0.6824383164005805
2021,2018,2705,5022,0.5386300278773397
2021,2019,4583,6767,0.6772572779666026
2021,2020,3335,8355,0.39916217833632556
2021,2021,1217,8833,0.13777878410506056
2022,1870,1,1,1.0
2022,1873,1,1,1.0
2022,1889,1,2,0.5
2022,1893,1,1,1.0
2022,1901,1,1,1.0
2022,1928,1,1,1.0
2022,1931,1,2,0.5
2022,1933,1,4,0.25
2022,1934,1,2,0.5
2022,1936,1,3,0.3333333333333333
2022,1937,1,2,0.5
2022,1938,2,3,0.6666666666666666
2022,1943,1,3,0.3333333333333333
2022,1945,2,2,1.0
2022,1948,1,4,0.25
2022,1949,1,5,0.2
2022,1950,1,5,0.2
2022,1951,5,6,0.8333333333333334
2022,1952,1,9,0.1111111111111111
2022,1953,1,9,0.1111111111111111
2022,1954,2,6,0.3333333333333333
2022,1955,7,3,2.3333333333333335
2022,1956,2,10,0.2
2022,1957,2,10,0.2
2022,1958,4,7,0.5714285714285714
2022,1960,1,10,0.1
2022,1961,1,6,0.16666666666666666
2022,1962,6,7,0.8571428571428571
2022,1964,4,14,0.2857142857142857
2022,1965,3,15,0.2
2022,1966,3,12,0.25
2022,1967,8,21,0.38095238095238093
2022,1969,8,20,0.4
2022,1970,2,21,0.09523809523809523
2022,1971,1,19,0.05263157894736842
2022,1972,2,23,0.08695652173913043
2022,1973,1,15,0.06666666666666667
2022,1974,1,13,0.07692307692307693
2022,1975,6,19,0.3157894736842105
2022,1976,2,19,0.10526315789473684
2022,1977,4,21,0.19047619047619047
2022,1978,3,18,0.16666666666666666
2022,1979,4,24,0.16666666666666666
2022,1980,6,27,0.2222222222222222
2022,1981,5,22,0.22727272727272727
2022,1982,7,26,0.2692307692307692
2022,1983,7,30,0.23333333333333334
2022,1984,2,23,0.08695652173913043
2022,1985,5,30,0.16666666666666666
2022,1986,3,28,0.10714285714285714
2022,1987,11,40,0.275
2022,1988,11,47,0.23404255319148937
2022,1989,43,53,0.8113207547169812
2022,1990,16,71,0.22535211267605634
2022,1991,9,53,0.16981132075471697
2022,1992,22,87,0.25287356321839083
2022,1993,17,85,0.2
2022,1994,25,97,0.25773195876288657
2022,1995,29,99,0.29292929292929293
2022,1996,28,108,0.25925925925925924
2022,1997,37,106,0.3490566037735849
2022,1998,54,127,0.4251968503937008
2022,1999,43,136,0.3161764705882353
2022,2000,40,189,0.21164021164021163
2022,2001,49,189,0.25925925925925924
2022,2002,70,199,0.35175879396984927
2022,2003,49,222,0.22072072072072071
2022,2004,86,261,0.32950191570881227
2022,2005,102,292,0.3493150684931507
2022,2006,187,301,0.6212624584717608
2022,2007,90,346,0.26011560693641617
2022,2008,151,376,0.4015957446808511
2022,2009,389,462,0.841991341991342
2022,2010,154,492,0.3130081300813008
2022,2011,199,560,0.35535714285714287
2022,2012,277,673,0.4115898959881129
2022,2013,379,807,0.46964064436183395
2022,2014,957,1049,0.9122974261201144
2022,2015,1700,1520,1.118421052631579
2022,2016,1809,2276,0.7948154657293497
2022,2017,2549,3445,0.7399129172714078
2022,2018,2730,5022,0.5436081242532855
2022,2019,5013,6767,0.7408009457662185
2022,2020,4996,8355,0.597965290245362
2022,2021,4519,8833,0.5116042114796785
2022,2022,1439,8403,0.17124836367963822
2023,1875,1,1,1.0
2023,1895,2,2,1.0
2023,1901,2,1,2.0
2023,1904,1,1,1.0
2023,1911,1,2,0.5
2023,1912,3,1,3.0
2023,1920,2,2,1.0
2023,1923,1,2,0.5
2023,1927,1,3,0.3333333333333333
2023,1931,1,2,0.5
2023,1933,1,4,0.25
2023,1936,1,3,0.3333333333333333
2023,1938,2,3,0.6666666666666666
2023,1945,1,2,0.5
2023,1948,1,4,0.25
2023,1951,6,6,1.0
2023,1952,1,9,0.1111111111111111
2023,1953,2,9,0.2222222222222222
2023,1954,2,6,0.3333333333333333
2023,1955,2,3,0.6666666666666666
2023,1956,2,10,0.2
2023,1957,4,10,0.4
2023,1958,1,7,0.14285714285714285
2023,1960,2,10,0.2
2023,1962,4,7,0.5714285714285714
2023,1964,2,14,0.14285714285714285
