paper_id,year,referenceCount,citationCount,source_paper_id_x,total_refs,internal_refs,external_refs,external_ref_ratio,source_paper_id_y,observed_out_refs,source_year,backward_pool_size,ref_rate_per_available_paper,target_paper_id,observed_in_cites,mean_in_cites,median_in_cites,std_in_cites,citation_norm_year_mean,citation_z_year,paper_age,cites_per_year_alive,mean_by_age,median_by_age,std_by_age,citation_norm_age_mean,citation_z_age,period,internal_ref_ratio,internal_coverage_of_citations,internal_coverage_of_references
13461,2022,0.0,113.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13461.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.008849557522123894,
13462,2022,90.0,293.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13462.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.0034129692832764505,0.0
13463,2022,58.0,224.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13463.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.004464285714285714,0.0
13464,2021,52.0,193.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13464.0,1.0,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,6,0.16666666666666666,2.5202083097475376,1.0,7.829554883053499,0.3967925969183774,-0.19416280139218614,pre_2023,,0.0051813471502590676,0.0
13465,2021,99.0,2018.0,,0.0,0.0,0.0,0.0,,0.0,2021,35560,0.0,13465.0,11.0,2.5202083097475376,1.0,7.829554883053499,4.364718566102152,1.0830490132467625,6,1.8333333333333333,2.5202083097475376,1.0,7.829554883053499,4.364718566102152,1.0830490132467625,pre_2023,,0.005450941526263627,0.0
13466,2020,35.0,161.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13466.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.006211180124223602,0.0
13467,2020,42.0,159.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13467.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.006289308176100629,0.0
13468,2020,68.0,152.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13468.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.006578947368421052,0.0
13469,2020,47.0,70.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13469.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.014285714285714285,0.0
13470,2018,39.0,285.0,,0.0,0.0,0.0,0.0,,0.0,2018,15416,0.0,13470.0,1.0,3.291517323775388,1.0,11.821459584982616,0.30381125226860256,-0.19384385720748187,9,0.1111111111111111,3.291517323775388,1.0,11.821459584982616,0.30381125226860256,-0.19384385720748187,pre_2023,,0.0035087719298245615,0.0
13471,2017,26.0,216.0,,0.0,0.0,0.0,0.0,,0.0,2017,11971,0.0,13471.0,1.0,4.486502177068215,1.0,21.887930041896187,0.2228907867494824,-0.15928880302498324,10,0.1,4.486502177068215,1.0,21.887930041896187,0.2228907867494824,-0.15928880302498324,pre_2023,,0.004629629629629629,0.0
13472,2016,42.0,634.0,,0.0,0.0,0.0,0.0,,0.0,2016,9695,0.0,13472.0,1.0,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,11,0.09090909090909091,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,pre_2023,,0.0015772870662460567,0.0
13473,2016,26.0,21.0,,0.0,0.0,0.0,0.0,,0.0,2016,9695,0.0,13473.0,1.0,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,11,0.09090909090909091,4.968804920913884,1.0,22.951001655455915,0.20125563710319214,-0.17292512895490203,pre_2023,,0.047619047619047616,0.0
13474,2015,42.0,68.0,,0.0,0.0,0.0,0.0,,0.0,2015,8175,0.0,13474.0,1.0,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,12,0.08333333333333333,7.235526315789474,1.0,86.45680569247114,0.13820694671758502,-0.07212302450739837,pre_2023,,0.014705882352941176,0.0
