node,paper_id,total_citations,valid,known_but_unseen,hallucinated,hallucinated_refs,valid_pct,hallucinated_pct,extraction_ok,citation_ids_ok
4,N4P13,21,21,0,0,,100.0,0.0,True,True
4,N4P23,5,5,0,0,,100.0,0.0,True,True
4,N4P6,27,26,0,1,"Walker, 2023",96.3,3.7,True,True
4,N4P18,23,23,0,0,,100.0,0.0,True,True
4,N4P19,22,22,0,0,,100.0,0.0,True,True
4,N4P0,24,24,0,0,,100.0,0.0,True,True
4,N4P5,27,26,0,1,"Davidson, 2019",96.3,3.7,True,True
4,N4P28,23,23,0,0,,100.0,0.0,True,True
4,N4P10,25,25,0,0,,100.0,0.0,True,True
4,N4P17,25,25,0,0,,100.0,0.0,True,True
4,N4P8,21,21,0,0,,100.0,0.0,True,True
5,N5P27,24,24,0,0,,100.0,0.0,True,True
5,N5P0,0,0,0,0,,0,0,True,True
5,N5P13,24,24,0,0,,100.0,0.0,True,True
5,N5P17,22,22,0,0,,100.0,0.0,True,True
5,N5P28,23,23,0,0,,100.0,0.0,True,True
5,N5P9,24,24,0,0,,100.0,0.0,True,True
5,N5P5,26,26,0,0,,100.0,0.0,True,True
5,N5P4,22,22,0,0,,100.0,0.0,True,True
5,N5P16,25,25,0,0,,100.0,0.0,True,True
5,N5P21,26,26,0,0,,100.0,0.0,True,True
5,N5P23,17,17,0,0,,100.0,0.0,True,True
5,N5P6,26,26,0,0,,100.0,0.0,True,True
5,N5P26,27,27,0,0,,100.0,0.0,True,True
5,N5P18,22,22,0,0,,100.0,0.0,True,True
5,N5P15,23,23,0,0,,100.0,0.0,True,True
5,N5P3,23,23,0,0,,100.0,0.0,True,True
5,N5P1,24,24,0,0,,100.0,0.0,True,True
5,N5P12,25,25,0,0,,100.0,0.0,True,True
5,N5P19,27,27,0,0,,100.0,0.0,True,True
5,N5P25,24,24,0,0,,100.0,0.0,True,True
5,N5P14,23,23,0,0,,100.0,0.0,True,True
5,N5P10,22,22,0,0,,100.0,0.0,True,True
5,N5P20,23,23,0,0,,100.0,0.0,True,True
5,N5P11,19,19,0,0,,100.0,0.0,True,True
5,N5P8,22,22,0,0,,100.0,0.0,True,True
5,N5P7,25,25,0,0,,100.0,0.0,True,True
5,N5P29,24,24,0,0,,100.0,0.0,True,True
5,N5P24,23,23,0,0,,100.0,0.0,True,True
5,N5P22,22,22,0,0,,100.0,0.0,True,True
5,N5P2,20,20,0,0,,100.0,0.0,True,True
